"Statistic Label","Census Year","Administrative Counties","Number of Cars","UNIT","VALUE"
"Number of households with cars","2022","Carlow County Council","No motor car","Number","2510"
"Number of households with cars","2022","Carlow County Council","1 motor car","Number","8235"
"Number of households with cars","2022","Carlow County Council","2 motor cars","Number","7408"
"Number of households with cars","2022","Carlow County Council","3 motor cars","Number","1651"
"Number of households with cars","2022","Carlow County Council","4 or more motor cars","Number","683"
"Number of households with cars","2022","Dublin City Council","No motor car","Number","69661"
"Number of households with cars","2022","Dublin City Council","1 motor car","Number","84685"
"Number of households with cars","2022","Dublin City Council","2 motor cars","Number","34861"
"Number of households with cars","2022","Dublin City Council","3 motor cars","Number","6129"
"Number of households with cars","2022","Dublin City Council","4 or more motor cars","Number","1736"
"Number of households with cars","2022","Dún Laoghaire Rathdown County Council","No motor car","Number","11658"
"Number of households with cars","2022","Dún Laoghaire Rathdown County Council","1 motor car","Number","36854"
"Number of households with cars","2022","Dún Laoghaire Rathdown County Council","2 motor cars","Number","26792"
"Number of households with cars","2022","Dún Laoghaire Rathdown County Council","3 motor cars","Number","4811"
"Number of households with cars","2022","Dún Laoghaire Rathdown County Council","4 or more motor cars","Number","1547"
"Number of households with cars","2022","Fingal County Council","No motor car","Number","10371"
"Number of households with cars","2022","Fingal County Council","1 motor car","Number","44495"
"Number of households with cars","2022","Fingal County Council","2 motor cars","Number","36562"
"Number of households with cars","2022","Fingal County Council","3 motor cars","Number","6368"
"Number of households with cars","2022","Fingal County Council","4 or more motor cars","Number","1933"
"Number of households with cars","2022","South Dublin County Council","No motor car","Number","11913"
"Number of households with cars","2022","South Dublin County Council","1 motor car","Number","41146"
"Number of households with cars","2022","South Dublin County Council","2 motor cars","Number","32146"
"Number of households with cars","2022","South Dublin County Council","3 motor cars","Number","6072"
"Number of households with cars","2022","South Dublin County Council","4 or more motor cars","Number","1922"
"Number of households with cars","2022","Kildare County Council","No motor car","Number","6551"
"Number of households with cars","2022","Kildare County Council","1 motor car","Number","29216"
"Number of households with cars","2022","Kildare County Council","2 motor cars","Number","32732"
"Number of households with cars","2022","Kildare County Council","3 motor cars","Number","6792"
"Number of households with cars","2022","Kildare County Council","4 or more motor cars","Number","2703"
"Number of households with cars","2022","Kilkenny County Council","No motor car","Number","3594"
"Number of households with cars","2022","Kilkenny County Council","1 motor car","Number","13033"
"Number of households with cars","2022","Kilkenny County Council","2 motor cars","Number","13714"
"Number of households with cars","2022","Kilkenny County Council","3 motor cars","Number","3157"
"Number of households with cars","2022","Kilkenny County Council","4 or more motor cars","Number","1288"
"Number of households with cars","2022","Laois County Council","No motor car","Number","2853"
"Number of households with cars","2022","Laois County Council","1 motor car","Number","11430"
"Number of households with cars","2022","Laois County Council","2 motor cars","Number","11560"
"Number of households with cars","2022","Laois County Council","3 motor cars","Number","2473"
"Number of households with cars","2022","Laois County Council","4 or more motor cars","Number","1092"
"Number of households with cars","2022","Longford County Council","No motor car","Number","1966"
"Number of households with cars","2022","Longford County Council","1 motor car","Number","6375"
"Number of households with cars","2022","Longford County Council","2 motor cars","Number","4920"
"Number of households with cars","2022","Longford County Council","3 motor cars","Number","958"
"Number of households with cars","2022","Longford County Council","4 or more motor cars","Number","357"
"Number of households with cars","2022","Louth County Council","No motor car","Number","7422"
"Number of households with cars","2022","Louth County Council","1 motor car","Number","19365"
"Number of households with cars","2022","Louth County Council","2 motor cars","Number","14834"
"Number of households with cars","2022","Louth County Council","3 motor cars","Number","2901"
"Number of households with cars","2022","Louth County Council","4 or more motor cars","Number","1132"
"Number of households with cars","2022","Meath County Council","No motor car","Number","5002"
"Number of households with cars","2022","Meath County Council","1 motor car","Number","24506"
"Number of households with cars","2022","Meath County Council","2 motor cars","Number","30117"
"Number of households with cars","2022","Meath County Council","3 motor cars","Number","6554"
"Number of households with cars","2022","Meath County Council","4 or more motor cars","Number","2710"
"Number of households with cars","2022","Offaly County Council","No motor car","Number","2949"
"Number of households with cars","2022","Offaly County Council","1 motor car","Number","10601"
"Number of households with cars","2022","Offaly County Council","2 motor cars","Number","10070"
"Number of households with cars","2022","Offaly County Council","3 motor cars","Number","2384"
"Number of households with cars","2022","Offaly County Council","4 or more motor cars","Number","979"
"Number of households with cars","2022","Westmeath County Council","No motor car","Number","3645"
"Number of households with cars","2022","Westmeath County Council","1 motor car","Number","12668"
"Number of households with cars","2022","Westmeath County Council","2 motor cars","Number","11625"
"Number of households with cars","2022","Westmeath County Council","3 motor cars","Number","2523"
"Number of households with cars","2022","Westmeath County Council","4 or more motor cars","Number","965"
"Number of households with cars","2022","Wexford County Council","No motor car","Number","6029"
"Number of households with cars","2022","Wexford County Council","1 motor car","Number","22716"
"Number of households with cars","2022","Wexford County Council","2 motor cars","Number","20316"
"Number of households with cars","2022","Wexford County Council","3 motor cars","Number","4611"
"Number of households with cars","2022","Wexford County Council","4 or more motor cars","Number","2121"
"Number of households with cars","2022","Wicklow County Council","No motor car","Number","5158"
"Number of households with cars","2022","Wicklow County Council","1 motor car","Number","20059"
"Number of households with cars","2022","Wicklow County Council","2 motor cars","Number","19735"
"Number of households with cars","2022","Wicklow County Council","3 motor cars","Number","4369"
"Number of households with cars","2022","Wicklow County Council","4 or more motor cars","Number","1873"
"Number of households with cars","2022","Clare County Council","No motor car","Number","4190"
"Number of households with cars","2022","Clare County Council","1 motor car","Number","17483"
"Number of households with cars","2022","Clare County Council","2 motor cars","Number","16978"
"Number of households with cars","2022","Clare County Council","3 motor cars","Number","3554"
"Number of households with cars","2022","Clare County Council","4 or more motor cars","Number","1310"
"Number of households with cars","2022","Cork City Council","No motor car","Number","15099"
"Number of households with cars","2022","Cork City Council","1 motor car","Number","31299"
"Number of households with cars","2022","Cork City Council","2 motor cars","Number","23360"
"Number of households with cars","2022","Cork City Council","3 motor cars","Number","4791"
"Number of households with cars","2022","Cork City Council","4 or more motor cars","Number","1711"
"Number of households with cars","2022","Cork County Council","No motor car","Number","10335"
"Number of households with cars","2022","Cork County Council","1 motor car","Number","44419"
"Number of households with cars","2022","Cork County Council","2 motor cars","Number","50310"
"Number of households with cars","2022","Cork County Council","3 motor cars","Number","11243"
"Number of households with cars","2022","Cork County Council","4 or more motor cars","Number","4908"
"Number of households with cars","2022","Kerry County Council","No motor car","Number","6150"
"Number of households with cars","2022","Kerry County Council","1 motor car","Number","22987"
"Number of households with cars","2022","Kerry County Council","2 motor cars","Number","19930"
"Number of households with cars","2022","Kerry County Council","3 motor cars","Number","4248"
"Number of households with cars","2022","Kerry County Council","4 or more motor cars","Number","1536"
"Number of households with cars","2022","Limerick City & County Council","No motor car","Number","9824"
"Number of households with cars","2022","Limerick City & County Council","1 motor car","Number","27283"
"Number of households with cars","2022","Limerick City & County Council","2 motor cars","Number","23815"
"Number of households with cars","2022","Limerick City & County Council","3 motor cars","Number","5301"
"Number of households with cars","2022","Limerick City & County Council","4 or more motor cars","Number","2165"
"Number of households with cars","2022","Tipperary County Council","No motor car","Number","6921"
"Number of households with cars","2022","Tipperary County Council","1 motor car","Number","22896"
"Number of households with cars","2022","Tipperary County Council","2 motor cars","Number","21376"
"Number of households with cars","2022","Tipperary County Council","3 motor cars","Number","5050"
"Number of households with cars","2022","Tipperary County Council","4 or more motor cars","Number","1987"
"Number of households with cars","2022","Waterford City & County Council","No motor car","Number","6399"
"Number of households with cars","2022","Waterford City & County Council","1 motor car","Number","18352"
"Number of households with cars","2022","Waterford City & County Council","2 motor cars","Number","15188"
"Number of households with cars","2022","Waterford City & County Council","3 motor cars","Number","2965"
"Number of households with cars","2022","Waterford City & County Council","4 or more motor cars","Number","1138"
"Number of households with cars","2022","Galway City Council","No motor car","Number","5704"
"Number of households with cars","2022","Galway City Council","1 motor car","Number","12631"
"Number of households with cars","2022","Galway City Council","2 motor cars","Number","7317"
"Number of households with cars","2022","Galway City Council","3 motor cars","Number","1215"
"Number of households with cars","2022","Galway City Council","4 or more motor cars","Number","409"
"Number of households with cars","2022","Galway County Council","No motor car","Number","5033"
"Number of households with cars","2022","Galway County Council","1 motor car","Number","23406"
"Number of households with cars","2022","Galway County Council","2 motor cars","Number","27542"
"Number of households with cars","2022","Galway County Council","3 motor cars","Number","5593"
"Number of households with cars","2022","Galway County Council","4 or more motor cars","Number","2291"
"Number of households with cars","2022","Leitrim County Council","No motor car","Number","1304"
"Number of households with cars","2022","Leitrim County Council","1 motor car","Number","5475"
"Number of households with cars","2022","Leitrim County Council","2 motor cars","Number","4889"
"Number of households with cars","2022","Leitrim County Council","3 motor cars","Number","872"
"Number of households with cars","2022","Leitrim County Council","4 or more motor cars","Number","359"
"Number of households with cars","2022","Mayo  County Council","No motor car","Number","5490"
"Number of households with cars","2022","Mayo  County Council","1 motor car","Number","20658"
"Number of households with cars","2022","Mayo  County Council","2 motor cars","Number","18479"
"Number of households with cars","2022","Mayo  County Council","3 motor cars","Number","3473"
"Number of households with cars","2022","Mayo  County Council","4 or more motor cars","Number","1349"
"Number of households with cars","2022","Roscommon County Council","No motor car","Number","2271"
"Number of households with cars","2022","Roscommon County Council","1 motor car","Number","10067"
"Number of households with cars","2022","Roscommon County Council","2 motor cars","Number","9550"
"Number of households with cars","2022","Roscommon County Council","3 motor cars","Number","1981"
"Number of households with cars","2022","Roscommon County Council","4 or more motor cars","Number","689"
"Number of households with cars","2022","Sligo County Council","No motor car","Number","3350"
"Number of households with cars","2022","Sligo County Council","1 motor car","Number","10422"
"Number of households with cars","2022","Sligo County Council","2 motor cars","Number","9055"
"Number of households with cars","2022","Sligo County Council","3 motor cars","Number","1676"
"Number of households with cars","2022","Sligo County Council","4 or more motor cars","Number","567"
"Number of households with cars","2022","Cavan County Council","No motor car","Number","2887"
"Number of households with cars","2022","Cavan County Council","1 motor car","Number","10589"
"Number of households with cars","2022","Cavan County Council","2 motor cars","Number","10381"
"Number of households with cars","2022","Cavan County Council","3 motor cars","Number","2256"
"Number of households with cars","2022","Cavan County Council","4 or more motor cars","Number","959"
"Number of households with cars","2022","Donegal County Council","No motor car","Number","6965"
"Number of households with cars","2022","Donegal County Council","1 motor car","Number","25116"
"Number of households with cars","2022","Donegal County Council","2 motor cars","Number","20742"
"Number of households with cars","2022","Donegal County Council","3 motor cars","Number","3870"
"Number of households with cars","2022","Donegal County Council","4 or more motor cars","Number","1407"
"Number of households with cars","2022","Monaghan County Council","No motor car","Number","2251"
"Number of households with cars","2022","Monaghan County Council","1 motor car","Number","8512"
"Number of households with cars","2022","Monaghan County Council","2 motor cars","Number","8412"
"Number of households with cars","2022","Monaghan County Council","3 motor cars","Number","1753"
"Number of households with cars","2022","Monaghan County Council","4 or more motor cars","Number","832"
"Number of households with cars","2022","Ireland","No motor car","Number","245455"
"Number of households with cars","2022","Ireland","1 motor car","Number","696979"
"Number of households with cars","2022","Ireland","2 motor cars","Number","594716"
"Number of households with cars","2022","Ireland","3 motor cars","Number","121594"
"Number of households with cars","2022","Ireland","4 or more motor cars","Number","46658"
